District,Farmers,Land_Area,Crop,Production
Erode,5200,21000,Rice,31000
Salem,4300,18500,Maize,22500
Coimbatore,3900,16500,Sugarcane,27000
Namakkal,4600,17500,Rice,28500
Karur,3100,12500,Maize,15500
Dharmapuri,3600,14500,Groundnut,18500
Krishnagiri,3700,15000,Mango,19000
Tiruppur,3400,14000,Cotton,17500
Dindigul,4100,16000,Rice,24000
Madurai,4800,20000,Rice,29500
Theni,3500,13500,Grapes,17000
Sivagangai,3300,13000,Millets,16000
Ramanathapuram,3000,12000,Groundnut,15000
Virudhunagar,3200,12800,Cotton,15800
Tirunelveli,4500,18000,Rice,26000
Thoothukudi,3400,14000,Millets,17000
Kanyakumari,3700,15000,Coconut,21000
Trichy,4400,17500,Rice,25500
Perambalur,3100,12500,Maize,15000
Ariyalur,3000,11800,Groundnut,14500
Cuddalore,4200,17000,Sugarcane,25000
Villupuram,4600,19000,Rice,28000
Kallakurichi,3500,14500,Maize,17500
Tiruvannamalai,4100,16500,Groundnut,20000
Vellore,3800,15000,Rice,22000
Ranipet,3300,13500,Millets,16500
Tirupattur,3200,13200,Maize,16000
Chengalpattu,3600,14800,Rice,21000
Kanchipuram,3900,15800,Rice,23000
Tiruvarur,4200,17000,Rice,26000
Nagapattinam,3700,15500,Rice,23500
Mayiladuthurai,3500,15000,Rice,22000
Thanjavur,5000,22000,Rice,32000
Pudukottai,3400,14000,Groundnut,17000
Nilgiris,2800,11000,Tea,20000
Tenkasi,3300,13800,Rice,17500
